feature,importance_mean,importance_std
Smoking,0.4657594581243434,0.005157582228440142
Genetic_Risk,0.45692219592101596,0.005740011880615025
Air_Pollution,0.26077278521784186,0.002085745478517399
Alcohol_Use,0.2556986359915919,0.005204121146166989
Obesity_Level,0.11346837470228299,0.002419299838016409
Cancer_Stage,3.6596723119078356e-05,3.777877662188522e-05
Year,2.314000361346158e-05,6.118507936550088e-05
Gender,9.731080249347768e-06,3.0142616411518396e-05
Country_Region,-1.9712525911000367e-05,3.693585493756912e-05
Age,-2.9820788562007206e-05,8.32941714758521e-05
Cancer_Type,-4.546571120388199e-05,4.691044168325918e-05
